inst_id,year,n_publications
I4405261291,2014,0
I4405261291,2015,0
I4405261291,2016,0
I4405261291,2017,0
I4405261291,2018,0
I4405261291,2019,0
I4405261291,2020,0
I4405261291,2021,0
I4405261291,2022,0
I4405261291,2023,0
I4405261291,2024,0
I4405261291,2025,0
I4405261291,2026,0
I107720978,2006,681
I107720978,2007,737
I107720978,2008,840
I107720978,2009,1067
I107720978,2010,1208
I107720978,2011,1365
I107720978,2012,1691
I107720978,2013,1976
I107720978,2014,2293
I107720978,2015,2603
I107720978,2016,2936
I107720978,2017,3364
I107720978,2018,4366
I107720978,2019,4484
I107720978,2020,5618
I107720978,2021,6475
I107720978,2022,6242
I107720978,2023,6790
I107720978,2024,7750
I107720978,2025,5864
I107720978,2026,2325
I4405252852,2006,0
I4405252852,2007,0
I4405252852,2008,0
I4405252852,2009,0
I4405252852,2010,0
I4405252852,2011,0
I4405252852,2012,0
I4405252852,2013,0
I4405252852,2014,0
I4405252852,2015,0
I4405252852,2016,0
I4405252852,2017,0
I4405252852,2018,0
I4405252852,2019,0
I4405252852,2020,0
I4405252852,2021,0
I4405252852,2022,0
I4405252852,2023,0
I4405252852,2024,0
I4405252852,2025,0
I4405252852,2026,0
I37490319,2006,1
I37490319,2007,2
I37490319,2008,1
I37490319,2009,4
I37490319,2010,8
I37490319,2011,15
I37490319,2012,11
I37490319,2013,10
I37490319,2014,30
I37490319,2015,19
I37490319,2016,16
