inst_id,year,n_citations
I12789410,2007,1868
I12789410,2008,2620
I12789410,2009,3330
I12789410,2010,6984
I12789410,2011,5541
I12789410,2012,5329
I12789410,2013,7622
I12789410,2014,8882
I12789410,2015,13246
I12789410,2016,22248
I12789410,2017,12558
I12789410,2018,15790
I12789410,2019,14479
I12789410,2020,16142
I12789410,2021,16930
I12789410,2022,13657
I12789410,2023,10971
I12789410,2024,7557
I12789410,2025,3297
I12789410,2026,94
I22223346,2006,1
I22223346,2007,114
I22223346,2008,58
I22223346,2009,137
I22223346,2010,214
I22223346,2011,156
I22223346,2012,220
I22223346,2013,288
I22223346,2014,436
I22223346,2015,754
I22223346,2016,496
I22223346,2017,945
I22223346,2018,860
I22223346,2019,1428
I22223346,2020,1441
I22223346,2021,2997
I22223346,2022,2299
I22223346,2023,1748
I22223346,2024,1332
I22223346,2025,271
I22223346,2026,9
I4210153799,2006,NA
I4210153799,2007,46
I4210153799,2008,19
I4210153799,2009,189
I4210153799,2010,0
I4210153799,2011,39
I4210153799,2012,328
I4210153799,2013,140
I4210153799,2014,83
I4210153799,2015,163
I4210153799,2016,32
I4210153799,2017,124
I4210153799,2018,331
I4210153799,2019,1064
I4210153799,2020,1398
I4210153799,2021,1596
I4210153799,2022,848
I4210153799,2023,992
I4210153799,2024,1389
I4210153799,2025,331
I4210153799,2026,4
I61869032,2006,0
I61869032,2007,NA
I61869032,2008,5
I61869032,2009,5
I61869032,2010,28
I61869032,2011,114
I61869032,2012,122
I61869032,2013,328
I61869032,2014,272
I61869032,2015,446
I61869032,2016,282
I61869032,2017,1102
I61869032,2018,2076
I61869032,2019,2030
I61869032,2020,1502
I61869032,2021,2848
I61869032,2022,2284
I61869032,2023,3541
I61869032,2024,1982
I61869032,2025,805
I61869032,2026,21
I4405261291,2006,NA
I4405261291,2007,NA
I4405261291,2008,NA
I4405261291,2009,NA
I4405261291,2010,NA
I4405261291,2011,NA
I4405261291,2012,NA
I4405261291,2013,NA
I4405261291,2014,NA
I4405261291,2015,NA
I4405261291,2016,NA
I4405261291,2017,NA
I4405261291,2018,NA
I4405261291,2019,NA
I4405261291,2020,NA
I4405261291,2021,NA
I4405261291,2022,NA
I4405261291,2023,NA
I4405261291,2024,NA
I4405261291,2025,NA
